customer_id,transaction_id,date,time,amount,location,transaction_type,merchant_category
CUST_001000,TXN_0001,2024-01-15,14:30,5200,東京,購入,小売
CUST_001000,TXN_0002,2024-01-16,12:45,28000,東京,購入,飲食
CUST_001000,TXN_0003,2024-01-17,16:20,15000,東京,購入,交通
CUST_001001,TXN_0004,2024-01-15,09:15,8500,大阪,購入,医療
CUST_001001,TXN_0005,2024-01-16,19:30,45000,大阪,購入,娯楽
CUST_001001,TXN_0006,2024-01-17,11:00,12000,大阪,購入,小売
CUST_001002,TXN_0007,2024-01-15,22:45,180000,海外,購入,宿泊
CUST_001002,TXN_0008,2024-01-16,02:30,95000,海外,購入,小売
CUST_001002,TXN_0009,2024-01-17,03:15,250000,海外,購入,娯楽
CUST_001003,TXN_0010,2024-01-15,13:20,3200,愛知,購入,小売
CUST_001003,TXN_0011,2024-01-16,14:55,18500,愛知,購入,飲食
CUST_001003,TXN_0012,2024-01-17,10:30,7800,愛知,購入,交通
CUST_001004,TXN_0013,2024-01-15,23:45,520000,福岡,購入,高額商品
CUST_001004,TXN_0014,2024-01-16,01:20,380000,福岡,購入,高額商品
CUST_001004,TXN_0015,2024-01-17,02:10,450000,福岡,購入,高額商品
